gene,sv_genes_gpcounts,sv_genes_spatialde,LLR_gpcounts,LLR_spatialde
Vsig2,,,0.070426118,0.202115908
Soga3,,,0.070388033,0.020785507
Dusp23,,,0.070276216,0.000964006
Gramd1b,,,0.070270657,0.000964008
Creb1,,,0.070247864,0.346987613
Grik1,,,0.070104814,0.20376149
Pnma1,,,0.070090012,0.237007567
H2-Ke2,,,0.070060562,0.507701655
Ormdl1,,,0.070032916,0.505492993
Ufl1,,,0.069827772,0.305954568
Mbtps2,,,0.069820115,0.084587988
Cntn6,,,0.069651587,0.226709637
Poldip2,,,0.069533643,0.000964009
Sox12,,,0.069414657,0.28897943
Abhd2,,,0.069409902,0.836101367
Men1,,,0.069361002,0.000964008
Bet1,,,0.069258535,0.000964009
Sdhaf2,,,0.069224796,0.027746553
Dnajc18,,,0.069208789,0.000964008
Gm14378,,,0.069146081,0.000964007
Pitpnm1,,,0.069127185,0.000964148
Zfp84,,,0.068899854,1.133775633
Rps19-ps3,,,0.068881587,0.177337593
Acot13,,,0.068851197,0.000964011
2410131K14Rik,,,0.068841972,0.000965393
Zfp78,,,0.068827563,0.263503124
Slx1b,,,0.068804765,0.067732982
Notch4,,,0.068790338,0.00096401
Pllp,,,0.068751124,0.000964008
H2afy,,,0.068743183,0.080268731
Med11,,,0.068722416,0.366416561
Eef1e1,,,0.06870786,0.000964011
Ubqln1,,,0.068422908,0.957592808
Rbm20,,,0.068384916,0.00096401
Tsku,,,0.068374353,0.000964008
Fkrp,,,0.068324877,0.035837979
Tnrc18,,,0.068265307,0.000971261
Gpr85,,,0.068219741,0.000964009
Pvrl4,,,0.068196037,0.000964011
Mbtps1,,,0.068189419,0.00096401
Sp3,,,0.068177795,0.00096401
B230216G23Rik,,,0.06813312,0.195726543
Socs1,,,0.06804504,0.104189029
Hexim2,,,0.06797804,0.40493213
A930017M01Rik,,,0.067954111,0.324244189
Scarb1,,,0.06793921,0.00096401
Elf2,,,0.067892977,1.021223579
Vamp5,,,0.067886472,0.120883745
Foxn2,,,0.067740307,0.039213102
Tfcp2,,,0.067711691,0.209500417
Tm9sf4,,,0.067671546,0.039714058
Plaa,,,0.067581236,0.008970324
Sf3b5,,,0.067580056,0.029005911
Slc5a6,,,0.067556057,0.000964011
Chdh,,,0.067479794,1.131935191
Tbc1d2,,,0.067363034,1.047810576
2310039H08Rik,,,0.067357027,0.000964009
Car5b,,,0.067312948,0.000964009
Pcdha2,,,0.067229578,0.32162083
Etfa,,,0.06720696,0.000964009
Etfdh,,,0.067206204,0.013393113
Rbm17,,,0.067198288,0.000964008
Mrpl9,,,0.067145761,0.216147659
Aasdhppt,,,0.067116698,0.024191274
Mterf,,,0.067044431,0.913424181
Snhg8,,,0.067014896,0.000964007
Vps26a,,,0.066972425,0.00740915
Gm2518,,,0.066813384,0.332643086
Crebl2,,,0.066793014,0.019175587
Ssb,,,0.066687723,0.000964011
Mrpl11,,,0.066665991,0.00096401
Trnau1ap,,,0.066663493,0.482688377
Tdrd3,,,0.066590273,0.000964008
Oscp1,,,0.066586977,0.000964008
G3bp1,,,0.066550998,0.000964011
Prdm4,,,0.066456024,0.52344932
G6pc3,,,0.066426029,0.592242739
Gcnt1,,,0.066406765,0.142834587
Mecom,,,0.06629949,1.353409554
Fastkd5,,,0.066281136,0.599860225
Ankrd35,,,0.066188593,2.277837305
Gt(ROSA)26Sor,,,0.066131709,0.169128853
Spire2,,,0.066075571,0.00096401
Extl3,,,0.066059491,0.026502716
Hist1h2bm,,,0.066001678,0.000964011
Alg3,,,0.06575547,0.000964012
D830030K20Rik,,,0.06566153,0.172377458
Rpa3,,,0.065590674,1.273978982
Kif16b,,,0.065560004,0.011247014
Vars,,,0.065398178,0.010726298
Aif1l,,,0.065344638,0.165188261
Gfm1,,,0.065288175,0.08790319
Coro2b,,,0.065142346,0.092048407
Pnlip,,,0.06504178,0.47162126
Tmem5,,,0.064966466,0.00096401
Prps1l3,,,0.064936258,0.178607124
Hmgxb3,,,0.064906429,0.301324527
Cited4,,,0.064893229,0.000964011
Gpc1,,,0.064871512,0.240481181
Ubxn2a,,,0.064851828,0.00096402
Fam131c,,,0.064847319,0.00096401
Traf4,,,0.064778322,0.00096401
1700011I03Rik,,,0.064726368,1.928779825
Mir22hg,,,0.064708718,0.234708609
Tmed1,,,0.064693764,0.000964011
Gnptab,,,0.064675305,0.000964009
Aass,,,0.064628727,0.000964007
Etohd2,,,0.064627342,0.035910367
Rcan1,,,0.064251037,0.638551176
Fibp,,,0.064157732,0.841498412
Cdk8,,,0.064069371,0.000964007
Samd8,,,0.064064986,0.000964009
1110038F14Rik,,,0.064013321,0.009073293
Alk,,,0.063998372,0.278777093
Aff3,,,0.063893684,0.099972112
Tfip11,,,0.063809111,0.590898481
Vrk1,,,0.063781964,0.277199762
Nav2,,,0.063762453,0.004261846
Hhex,,,0.063749768,0.171334914
Arhgdib,,,0.063696186,0.048712193
Emc7,,,0.063682322,0.228368735
Espl1,,,0.063593533,1.507947188
Trim3,,,0.063546653,0.00096401
Acd,,,0.063539109,0.000964008
Pcif1,,,0.063517213,0.000964011
Gm7694,,,0.063499895,0.819327446
Otud4,,,0.063449189,0.094912245
Asb1,,,0.063432703,0.000964009
Usp44,,,0.06336038,2.161558578
Map1lc3b,,,0.063355311,0.000964008
Mrpl46,,,0.063350639,0.000964011
D330022K07Rik,,,0.06334855,1.286608861
Pip5k1a,,,0.063313319,0.329134083
Mtx1,,,0.063300249,0.083364048
Cdr2l,,,0.063300058,0.00096401
Asap3,,,0.063203363,0.00096401
Slc35f2,,,0.063190744,0.20969494
Trpc7,,,0.063105087,0.00096401
Ly6g5b,,,0.063102788,0.157121822
1500015O10Rik,,,0.063085828,3.221995194
Usp32,,,0.06300245,0.110986916
Rexo4,,,0.062917183,0.02471172
Tcp11l1,,,0.062814788,0.611600395
Pola2,,,0.062780009,0.000964007
Thumpd3,,,0.062721371,0.00096401
Sart1,,,0.062666712,0.425259091
Fam161b,,,0.062596671,0.723436143
Nf2,,,0.062530907,0.469322717
Elac2,,,0.062526757,0.624779816
Vldlr,,,0.062475406,0.055766361
Fam160a1,,,0.062419889,0.362705998
Paip1,,,0.062403543,0.065117373
Atxn7,,,0.062246913,0.000964011
C2cd4b,,,0.062243501,1.167611898
Ddx28,,,0.062227972,0.082699077
Pdzd9,,,0.06219638,0.20187079
Htr5b,,,0.062093385,0.007068062
Adcy8,,,0.062066476,0.603867691
Zfp286,,,0.061987699,0.378912053
Odf2,,,0.061971084,0.079648536
Ago4,,,0.061962973,0.00096401
Myo1e,,,0.061895935,0.000964122
Romo1,,,0.061883297,0.148997085
Zranb1,,,0.061855682,1.601516206
Tex9,,,0.061716317,0.000964011
Ccnc,,,0.061703787,0.351194707
Bpifa6,,,0.061592239,2.904356097
Ranbp1,,,0.061587805,0.021832759
Deptor,,,0.061522328,2.074433415
Tmco3,,,0.061439759,0.337039805
Syt3,,,0.061402925,0.162675057
Pih1d2,,,0.061337102,0.009774627
Hcls1,,,0.061334473,0.00096401
Gpc3,,,0.061294251,0.000968395
Pskh1,,,0.061258979,0.170487139
Taf5l,,,0.061238548,0.32571346
N6amt1,,,0.061232036,1.000807236
Lingo3,,,0.061216418,0.257053755
Cebpg,,,0.061103888,1.351245205
Tmem14c,,,0.061088383,0.187794929
Secisbp2,,,0.06104285,0.11225262
Ubtd1,,,0.060933727,0.000964011
Tpra1,,,0.060931808,0.000964009
Ddhd2,,,0.060844789,0.065075637
3110021N24Rik,,,0.060840868,1.065766679
Boc,,,0.060631012,0.00096401
Grwd1,,,0.060592271,0.077070169
AI427809,,,0.060584817,0.202097766
Grid1,,,0.060556255,0.09825873
Tcea2,,,0.06049089,0.00096401
Fbxo2,,,0.060434648,0.041619698
Dos,,,0.060249751,0.09701733
Tbc1d19,,,0.060226114,0.049588639
Cyb561,,,0.060189304,0.000964009
Nop56,,,0.060142421,0.076173233
2810049E08Rik,,,0.060077897,0.000964007
Ccdc141,,,0.059940685,0.00096401
Lin37,,,0.059914457,0.00096401
Zswim5,,,0.059910294,0.132595434
Aig1,,,0.059907604,0.121359443
Sp8,,,0.059872768,0.223522792
1700030K09Rik,,,0.059870681,0.687833473
Cep68,,,0.059776189,0.035323287
Sgsm3,,,0.059712651,0.123486479
Mrps11,,,0.059705846,0.000964011
Ebf3,,,0.059683046,0.00096401
Pnldc1,,,0.059572959,0.037655587
Cwc22,,,0.059498517,0.564582968
Pdcd6,,,0.059487822,0.121232522
Pcdhb18,,,0.059476686,0.318224861
0610030E20Rik,,,0.059316874,0.00096401
Mrpl38,,,0.059289104,0.198498754
Fbxl15,,,0.059188572,2.638539857
Clcc1,,,0.059185561,0.000969203
Alkbh3,,,0.059131748,0.768598952
Arl6ip6,,,0.059124286,0.012099175
Nfkbiz,,,0.059104697,0.755067517
Chchd7,,,0.058928772,0.236221124
Dnajb4,,,0.05890243,0.154643622
Nfkbil1,,,0.058901798,0.522743454
1700029I15Rik,,,0.058897042,0.029715989
Ubl7,,,0.058872113,0.280519474
Pla1a,,,0.058801721,0.983465746
Pcid2,,,0.058711877,0.691136366
Zbtb7a,,,0.058654861,0.000964008
Smdt1,,,0.058469211,0.000964009
Slco1c1,,,0.058436211,0.053935948
Smpd1,,,0.05833442,0.190921741
Fbxo41,,,0.058270971,0.000964011
Sf1,,,0.058111519,0.001327629
Foxo3,,,0.058040456,1.065389446
Csgalnact1,,,0.05803269,0.000964006
Pqlc2,,,0.057969422,0.000964009
Sssca1,,,0.057850672,0.000964011
Cyb5r4,,,0.057819128,0.000964012
Slc16a10,,,0.057812791,1.529949116
Gstm2,,,0.057737755,0.04837337
Alkbh6,,,0.057703669,0.290853916
Ubd,,,0.057663471,0.024140388
Trpc4,,,0.057660537,0.214252242
Chek1,,,0.057561413,0.072986688
Lamtor5,,,0.057437819,0.00096401
Elovl6,,,0.057369609,0.013948284
Mrto4,,,0.05736554,0.003417513
Lmna,,,0.05729597,0.000964011
Tspyl1,,,0.057295763,0.000964005
Pik3c3,,,0.057247632,0.080188434
Ezr,,,0.057206288,0.031993589
Rpusd2,,,0.057204112,0.000964007
Prrt3,,,0.057193529,0.591818948
D15Ertd621e,,,0.05707666,0.010748804
Ccnt2,,,0.05706682,0.00096401
Fam49a,,,0.057056158,0.000964008
Dnajc15,,,0.057047499,0.818784586
Ano10,,,0.0568651,0.000964008
Dscr3,,,0.056854931,0.347215292
Slc4a1ap,,,0.056763695,0.215970958
Bicc1,,,0.056749689,5.229164342
Fbxo8,,,0.056685844,0.000964011
Arih2,,,0.056648159,0.000964005
Pou3f2,,,0.056554941,0.363506791
Zfp711,,,0.0564591,0.31510316
Fnip2,,,0.056405406,0.000964009
Mdm4,,,0.056344652,0.000964009
Vta1,,,0.05634238,0.252816927
Rab7l1,,,0.056329673,0.252052848
Ppp1r3g,,,0.05627894,0.037956112
Sap30l,,,0.05623942,0.000964008
Tnfrsf4,,,0.056215474,0.062069541
Rbks,,,0.056200696,0.20795016
2900092D14Rik,,,0.056200415,0.270560731
Rbm41,,,0.05618453,0.895433012
Pcna,,,0.056168555,0.001566616
Ogfod2,,,0.056133952,0.000964007
Csnk2b,,,0.05609747,0.330836899
Sec23a,,,0.056097406,0.247962614
Tdrd9,,,0.05603581,2.23733439
Saysd1,,,0.056021545,0.000964009
Fkbp4,,,0.056011645,0.530545194
Wfdc17,,,0.055870974,0.540505216
Rwdd2b,,,0.05586521,0.613302366
Kcnj14,,,0.055826942,2.894951052
4933405L10Rik,,,0.055689308,19.15060518
AW551984,,,0.055683996,0.000964009
Rpusd3,,,0.055586797,0.175242667
Fhl3,,,0.055537923,0.033149111
3110002H16Rik,,,0.055494197,0.387286437
Dlg3,,,0.055478136,0.00096401
Nupl1,,,0.055476609,0.00096401
Tmub2,,,0.055421851,0.359246696
Luzp1,,,0.05537919,0.074640273
Ccdc115,,,0.055326752,0.000964007
Nub1,,,0.055316834,0.483012906
Hdc,,,0.055273166,1.286389892
Timm8a1,,,0.055194063,0.031975726
Kdm5c,,,0.055186195,0.00096401
S100a11,,,0.055117151,0.000964007
Rab4b,,,0.055111397,0.00096401
Eif2s3y,,,0.055065067,0.00096401
Cacul1,,,0.055037507,0.039379973
Rrm2,,,0.054976952,0.001374657
A330009N23Rik,,,0.054964145,0.004687445
A130049A11Rik,,,0.054947244,0.048545632
Mndal,,,0.054945267,0.00096401
Cntnap2,,,0.054886222,0.367283983
Vwa9,,,0.054870787,0.793689641
Rpgrip1l,,,0.054827767,0.026801338
Dnajc16,,,0.054780587,0.265217062
Ubxn8,,,0.054650108,0.00096401
Prr14,,,0.054608203,0.268954401
Nme4,,,0.054602802,0.00096401
Capn7,,,0.054585624,0.061706917
Igtp,,,0.054566501,0.000964008
Alg5,,,0.054478206,0.000964008
Clybl,,,0.054462209,0.015638186
Zmynd10,,,0.054338132,0.137044228
Fhad1,,,0.054334001,0.020082791
Rrm2b,,,0.054303812,0.000964009
Pom121,,,0.054180981,0.009830903
BC048943,,,0.054133877,0.645348278
Mum1,,,0.054118909,0.125718845
Apbb1ip,,,0.054109194,0.00096401
Macrod2,,,0.054054233,0.000964008
Gramd1c,,,0.054025116,0.298344656
Tjap1,,,0.053998884,0.042175778
3830406C13Rik,,,0.053981158,0.000964011
Glipr2,,,0.053931565,0.887574732
Poglut1,,,0.053925337,0.000964008
Abce1,,,0.053922296,0.000964009
Vps36,,,0.053904258,0.000964007
Lias,,,0.053894568,0.151837851
Gpr146,,,0.053840689,0.024164447
Zmym1,,,0.0537892,0.000964011
Cbwd1,,,0.053787342,0.000966587
Cul7,,,0.053779235,0.000964009
Tmsb15b1,,,0.053778448,0.002737951
6330408A02Rik,,,0.053747015,0.001099739
Anks1,,,0.053649236,0.593340402
Smad6,,,0.053626898,0.00096401
Hexim1,,,0.053440821,0.000964011
Adm,,,0.053290994,0.00096401
Eif2a,,,0.053279588,0.00096401
Ccdc134,,,0.053164755,0.110159589
Stk11ip,,,0.053130802,0.16593775
Msra,,,0.053102334,0.368440971
Obp2a,,,0.053091604,0.266840944
Ddx3y,,,0.053081544,0.21136368
Nudt6,,,0.053044726,0.000964009
Heatr5b,,,0.053034957,0.110157802
Ifrd1,,,0.05290957,0.039995666
Armc8,,,0.052902553,0.000964008
Cars2,,,0.052812338,0.393690293
Cped1,,,0.052702694,0.074650975
Spata7,,,0.052660757,0.000964008
Trank1,,,0.0526426,0.000964008
Ryr3,,,0.052619467,0.078006412
Pdlim2,,,0.052524884,0.000964009
Zadh2,,,0.052522077,0.138395673
Foxd1,,,0.052465452,0.931787459
Arl13b,,,0.052464781,0.00096401
Kdelc2,,,0.052451785,1.23134683
Neil1,,,0.052439493,0.968950847
Yipf1,,,0.052436045,0.000964009
1700037H04Rik,,,0.052377095,0.122001866
Hexb,,,0.052251451,0.000964011
Alg8,,,0.052236413,0.897822861
Ift46,,,0.05222064,0.198058605
Kdm5d,,,0.052183374,0.454716132
Gpr180,,,0.052083875,0.161771414
Hibadh,,,0.052050464,0.000964011
Il17rb,,,0.052004957,1.806677017
Pgm5,,,0.052001204,0.08247449
Hsd3b7,,,0.051980118,0.130721235
Rab9,,,0.051727968,0.173945908
Mtor,,,0.051675285,0.92834728
Ier2,,,0.051608736,0.00096401
Htr1a,,,0.05149292,0.528501056
Gm15612,,,0.051458291,0.060377002
Satb1,,,0.051414402,0.000964008
Kat2b,,,0.051347475,0.009025769
Gm12504,,,0.051195707,0.00096401
Ldlr,,,0.051162042,0.00096401
Dpm3,,,0.051083381,0.000966634
Pycr2,,,0.051060211,0.000964011
Snhg3,,,0.051011451,0.000964008
Btrc,,,0.050839442,0.000964008
Hist2h3b,,,0.05083095,0.115283178
Vps4a,,,0.050824234,0.000964012
Fastkd2,,,0.050767093,0.000964011
Mrps14,,,0.050748721,0.00096401
Bcl3,,,0.050719411,0.352331448
Aste1,,,0.050668957,0.274777989
Aldh9a1,,,0.05065581,0.010235259
Ptger1,,,0.050635146,0.000964011
Ispd,,,0.05062259,0.00096401
Zik1,,,0.050592499,1.443249947
Sec11c,,,0.050576524,0.00096401
Blvra,,,0.050565838,0.876551173
Ythdf2,,,0.050535731,0.001256104
2810459M11Rik,,,0.050506337,1.022720924
Nudt11,,,0.050480665,0.435657367
Dad1,,,0.050469376,0.000964037
Ubxn1,,,0.050449394,0.564016499
Zbtb5,,,0.050418963,0.075559816
Bend5,,,0.050391498,0.00096401
Fbn1,,,0.050376724,0.023457854
Capza1,,,0.050358326,0.840580726
Arhgap24,,,0.050261665,0.010252108
Hist1h2bn,,,0.050225581,0.072710142
Gpbp1,,,0.050149282,0.150627175
Atl2,,,0.050130914,0.000964007
Ttl,,,0.050013523,0.564679631
Adar,,,0.049975006,0.000964011
Plxdc2,,,0.049959181,0.205819107
Arfgef1,,,0.049953966,0.101669759
Ankrd13a,,,0.049948452,0.000964011
Fam149b,,,0.049898132,0.000964008
Plxnc1,,,0.049893904,0.081546645
Prrg1,,,0.049832881,0.209885705
1600012H06Rik,,,0.049819913,0.000964009
Ints9,,,0.049705914,0.005909611
Dpyd,,,0.049700435,0.059959829
Tiparp,,,0.049636066,0.104358219
2210013O21Rik,,,0.049628716,0.001597954
0610012G03Rik,,,0.04961804,0.00096401
Pak3,,,0.049576119,0.00096401
Mypn,,,0.049553466,0.083156691
St8sia1,,,0.049507891,0.00096401
Actr3,,,0.049489592,0.485103471
2610307P16Rik,,,0.04945028,2.952881076
Nfx1,,,0.049319362,0.07317131
Wdpcp,,,0.049296301,0.000964007
Mrpl40,,,0.049293676,0.190229604
Setmar,,,0.049257567,0.000964007
Rrp1b,,,0.049225403,0.000964011
Exoc5,,,0.049183992,0.000964007
Cdc26,,,0.049153848,0.35697714
Mettl9,,,0.049122664,0.083402646
Pdgfb,,,0.049054637,0.212832352
Rexo2,,,0.048990238,0.000964011
Slc25a16,,,0.048909418,0.000964009
Gclc,,,0.048879125,0.490253449
0610009B22Rik,,,0.048878934,0.103266872
9630001P10Rik,,,0.048870033,0.335378457
Fam53a,,,0.048858652,0.000964009
Cant1,,,0.048720507,0.429712356
Fam20b,,,0.048677255,0.002169734
Upf3a,,,0.048563413,0.000964009
Tnks1bp1,,,0.048394656,0.899402219
D330050G23Rik,,,0.048373176,0.00096401
Whamm,,,0.048370476,0.000964009
Dock5,,,0.048291862,0.000964009
Rhod,,,0.048281291,0.705278208
Rbm24,,,0.048252523,0.623073078
Ttc27,,,0.047973839,0.00096401
Cecr6,,,0.047942291,0.035227258
Wasf2,,,0.047842759,0.000964011
Ing5,,,0.047788431,0.048348462
Aars2,,,0.047788406,0.000969824
Rnf20,,,0.04769204,0.000964011
Uros,,,0.047676027,0.000964009
Haus3,,,0.047615116,0.150615689
Sympk,,,0.047610982,0.000964011
Med25,,,0.047601219,0.102667677
Itga4,,,0.047559407,0.065912739
Ralgapb,,,0.047553737,0.000964011
Pitrm1,,,0.0474345,0.002933577
Galnt11,,,0.047385772,0.128662944
Acad9,,,0.047278009,0.026269322
Muc1,,,0.047239102,0.066239588
Zfp708,,,0.047223626,0.039802218
Tmed9,,,0.047209088,0.211409103
Fxr2,,,0.04719225,0.000964008
Rac3,,,0.047037929,0.000964011
Cpsf3l,,,0.047008637,0.00096401
Zfp938,,,0.046988532,0.00096401
Eif2b5,,,0.046966657,0.000964007
Rprd2,,,0.046891467,0.679655549
Catsper2,,,0.046848524,0.256228879
AI467606,,,0.046825918,0.00096401
Mafb,,,0.046822739,0.000964009
Golt1b,,,0.046645472,0.637091015
Hdac3,,,0.046603441,0.000964006
Armc5,,,0.046563055,0.000969401
Mpp1,,,0.046505672,0.00096401
1700028K03Rik,,,0.046481513,0.195795741
Begain,,,0.046456837,0.285433342
9530052E02Rik,,,0.046429981,1.373208512
Slc5a7,,,0.0463096,0.119111444
Gm5617,,,0.046182289,0.000965803
Tdp1,,,0.046141674,0.048702464
Rnf6,,,0.046068723,0.14206366
Zbtb10,,,0.046030944,0.000964009
Tpd52l2,,,0.046009457,0.090006908
Hddc2,,,0.045970149,0.169283239
Wbscr16,,,0.045933255,0.065551214
Med12l,,,0.045923703,0.002190362
Pygl,,,0.045853073,0.25500548
Rpl38,,,0.045827543,0.000964009
Arid4b,,,0.045693658,0.000964011
Zfp277,,,0.045643733,0.000964008
Card10,,,0.045642366,0.505821389
Ccpg1,,,0.04561428,0.000964009
2610017I09Rik,,,0.045613514,0.00096401
Psmd5,,,0.045550123,0.205656108
Nfkb2,,,0.045454912,0.026539042
Cbfa2t2,,,0.045351429,0.143690042
Btbd2,,,0.045344681,0.002441318
Zbtb17,,,0.045287579,0.000964009
Zfp462,,,0.045268529,0.047400911
Nell1,,,0.04521625,0.00096401
Tnfrsf21,,,0.045209191,0.095155217
Rpap2,,,0.045184491,0.189081043
Dgkq,,,0.045175192,0.175847595
Slc30a2,,,0.045142219,0.930693045
9330151L19Rik,,,0.045070758,1.327109042
Eef1d,,,0.045025711,0.000964006
0610009D07Rik,,,0.044992931,0.00096401
Cap1,,,0.044961942,0.812010252
Trp53bp1,,,0.044919182,0.000964007
Cnih3,,,0.044869633,0.000964971
Ndufaf1,,,0.044849284,0.376370803
Klhdc8b,,,0.044796925,0.624299032
Prpf6,,,0.04476846,0.048437361
Eif4ebp3,,,0.044730163,0.159943702
Fam184b,,,0.044728007,0.000964007
Pygo1,,,0.044682041,0.161050361
Gm19522,,,0.044625739,0.231430956
Ptgfr,,,0.044478605,0.000964011
Frmd3,,,0.044474812,0.000964007
Polr2h,,,0.044398036,0.334837661
Ifi205,,,0.044367678,2.688758593
Prtn3,,,0.044283903,0.442054812
Cenpj,,,0.044263717,0.000964011
Aagab,,,0.044240743,0.022397571
Fah,,,0.044112579,0.000964011
2310061J03Rik,,,0.044109114,0.004303454
Fas,,,0.044108258,0.033160841
Mkrn1,,,0.044064876,0.294933172
Isg15,,,0.043999262,0.000964009
Dscaml1,,,0.04398755,0.000964007
Scamp3,,,0.043951859,0.188370697
1700040L02Rik,,,0.043944363,0.150553625
B3galtl,,,0.043855821,0.209960677
Med27,,,0.043776069,0.038372538
Ppp1r3b,,,0.043730162,0.005300274
Rnmt,,,0.043707598,0.015942908
Bpifb5,,,0.043705682,0.00096401
Fcf1,,,0.043654935,0.677394273
Tpsg1,,,0.043652787,0.385808111
Dse,,,0.043597653,0.00096401
Ddx1,,,0.043535369,0.000964008
Tnni3,,,0.043480459,0.576895569
Opa3,,,0.043476054,0.000964008
Hjurp,,,0.043389708,0.00096401
A330041J22Rik,,,0.043348777,0.000964011
BC048546,,,0.043191156,0.000964011
Rnf157,,,0.043180306,0.100232965
Snx30,,,0.043061443,0.719851492
Fam129a,,,0.043018926,0.000964011
Arl15,,,0.042961042,0.00096401
Zfp414,,,0.042889859,0.00096401
Eif3j2,,,0.042807503,1.682246891
Pum2,,,0.042769705,0.000964011
Sgk3,,,0.042757208,0.002366516
Tmem11,,,0.042753213,0.000964007
Abl1,,,0.042725981,0.376136395
Chac1,,,0.042711514,0.474139221
Mrpl32,,,0.042659464,0.000964011
Aldh1a3,,,0.042646167,0.804937071
Desi2,,,0.042639666,0.000964009
Fig4,,,0.042462946,0.149983248
Ahctf1,,,0.042442715,0.001053538
Mfsd8,,,0.042394948,0.008984529
Snhg7,,,0.042292719,0.533826245
T2,,,0.042235539,0.091119414
Pxk,,,0.042209978,0.054871452
Mdn1,,,0.042032331,0.00096401
Parp12,,,0.042014384,0.024525633
Gcc1,,,0.041910436,0.000968803
Gsk3b,,,0.041809821,0.162386746
Etaa1,,,0.041692027,0.0418745
Irgq,,,0.041690733,0.245201241
Gch1,,,0.041678146,0.00096401
Zcchc9,,,0.041665274,0.00096401
Dnaaf2,,,0.041657754,0.184137541
Rufy1,,,0.041625564,0.294281098
Kif13b,,,0.041555958,0.000964009
Sumo3,,,0.041550017,0.000964011
Prox1,,,0.041486181,0.124648154
Papd7,,,0.041373436,0.016868086
Nxph1,,,0.041358527,0.001187651
Trim15,,,0.04134254,0.864703865
Vash1,,,0.041340959,0.024196707
Lrrc45,,,0.041330015,0.207325577
Cdyl2,,,0.041216125,0.000964099
Gpkow,,,0.041138423,0.138235349
Fbxw4,,,0.04109584,0.000964009
Sec61a2,,,0.041083423,0.00096401
Zfp512,,,0.041048086,0.220484861
Rab27b,,,0.040942683,0.534008128
Moxd1,,,0.040922055,0.12543766
Zfyve28,,,0.040850443,0.839890348
Smcr8,,,0.040780193,0.000964011
Slc10a3,,,0.040753845,0.009070384
Alkbh1,,,0.040726515,0.000964005
Bnip1,,,0.04072609,0.000964006
Lurap1,,,0.040672398,0.000964007
Scaf4,,,0.04065495,0.034159895
Prkrir,,,0.040610724,0.000964009
Ptplb,,,0.040605383,0.000964011
Ehbp1l1,,,0.040592974,0.400134418
Retsat,,,0.040574881,0.000964006
Uri1,,,0.040549623,0.000964008
Pln,,,0.040533474,0.00096401
Rnf13,,,0.040366937,0.000964007
Psmd11,,,0.040320214,0.000964011
Grap,,,0.040305078,0.000964009
Recql,,,0.040285838,0.00111703
Rreb1,,,0.040248291,0.271994029
Mecr,,,0.040213706,0.000964011
Fuz,,,0.040148202,0.322778454
Mynn,,,0.040145257,0.20660008
Stk38,,,0.04007129,0.000964031
Mfap1b,,,0.040058652,0.00096401
2610035F20Rik,,,0.040037593,0.576101485
Rufy2,,,0.040020833,0.000964009
Laptm5,,,0.040013834,0.000964008
Bclaf1,,,0.039872982,0.000964011
9130401M01Rik,,,0.039848996,0.044459147
4930452B06Rik,,,0.039774546,0.00156147
Nmnat3,,,0.039754118,0.17714017
Wdr11,,,0.039701668,0.060336538
Emc10,,,0.039677451,0.000964008
Ppp1r13l,,,0.039629575,0.059166507
Spr,,,0.039627619,0.10037036
Hsd17b13,,,0.039537645,0.386228692
Tpp2,,,0.039509658,0.000964009
Fen1,,,0.039423135,0.000964006
Capsl,,,0.039379604,1.515096718
Zfp758,,,0.039342958,0.793919561
Zfyve27,,,0.039263214,0.014173936
Hspa14,,,0.039255112,0.00096401
Pdia5,,,0.039229311,0.000964011
Gm13375,,,0.039175568,0.250042015
3010026O09Rik,,,0.039140962,0.967230842
Jdp2,,,0.039135728,0.000964019
Fchsd2,,,0.039115617,0.00096401
Snrnp35,,,0.038908822,0.842385366
Pias3,,,0.038872306,0.005734106
Atf6b,,,0.038850606,0.00096401
4930506C21Rik,,,0.038779573,0.000967162
Aga,,,0.038755923,0.00096401
Cir1,,,0.038706638,0.129941186
Ap3b1,,,0.038682186,0.006684822
Akirin1,,,0.038655806,0.000964009
Cdc25b,,,0.038604566,0.000964008
Mrpl23,,,0.038480665,0.000964011
Cmas,,,0.038439411,0.00096401
Hdac10,,,0.038430347,0.012083656
Gm13031,,,0.038411249,0.107164592
Rabgef1,,,0.038376721,0.000964009
Zfpm2,,,0.038376063,0.000964011
Zfp46,,,0.038365307,0.034646239
Sgms2,,,0.038355141,0.086724838
Cep135,,,0.038235523,0.00096401
Igf1r,,,0.038200337,0.000964009
Fiz1,,,0.038164825,0.393391982
Polr2d,,,0.038123749,1.470229779
Adamts17,,,0.0379862,0.342704949
Smim1,,,0.037951761,0.277454065
Pin4,,,0.03790418,0.000964011
Pdcd2,,,0.037889738,0.290549189
Adal,,,0.03787621,0.238546049
Col9a3,,,0.037868003,0.00096401
Lrrc41,,,0.037866437,0.000964009
Cmtm7,,,0.037841625,0.000966143
Fgfrl1,,,0.037831635,0.00096401
Coil,,,0.037819541,0.000964008
Rbm12,,,0.037803939,1.245411937
Zfp142,,,0.037738523,0.000964006
BC061194,,,0.037649545,0.321160575
Mfsd5,,,0.037645718,1.175401029
Jrkl,,,0.037565102,0.396546181
Mark1,,,0.037520087,0.000964009
Nfil3,,,0.037492563,0.000964008
Phf3,,,0.037491767,0.278308495
Tmem150a,,,0.037444335,0.00096401
Rfx2,,,0.037375548,0.071944966
