,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,lengthscale,BIC,pval,q value
Mmp16,-161.260368,-161.2603678,-2.72E-07,1.372593621,,1,1
Casp1,-174.0367704,-174.0367706,2.17E-07,7.869663756,,0.999627963,1
Etaa1,-311.7653411,-311.7653375,-3.63E-06,4.49E-05,,1,1
Amer2,-360.389321,-360.4761421,0.086821092,0.010254958,,0.76825806,1
Nars2,-196.8013114,-196.8013269,1.55E-05,0.586910804,,0.996857556,1
Ccdc127,-434.6421451,-435.5034249,0.861279805,4.023243651,,0.353380795,1
Des,-66.69225966,-66.69706969,0.004810033,0.966294496,,0.944707522,1
Sipa1,-236.8884433,-236.8884418,-1.50E-06,0.000174398,,1,1
Nol10,-223.6050763,-223.6050748,-1.52E-06,0.068919325,,1,1
Leng9,-108.1417848,-108.1508605,0.009075661,0.880116552,,0.924103339,1
Zfp410,-282.6734495,-282.6734533,3.75E-06,0.002752515,,0.998455106,1
D3Ertd254e,-203.0830772,-204.0142741,0.931196917,1.376963956,,0.3345521,1
Spen,-415.3576766,-415.3576708,-5.74E-06,0.707929443,,1,1
Tbcb,-493.4760395,-493.8640993,0.388059773,0.61655767,,0.533321034,1
Dhrs4,-310.6898984,-311.9458079,1.255909478,1.063339355,,0.262426793,1
Pnpt1,-286.696168,-286.7244734,0.028305328,1.089263015,,0.866393001,1
Slc25a29,-263.0462165,-263.4000611,0.353844569,2.731772622,,0.55194484,1
Rtn4r,-263.8929905,-266.781142,2.888151555,1.862628488,,0.089233251,1
Tnks,-201.2502354,-201.2536996,0.003464181,0.006711921,,0.953065775,1
Carhsp1,-339.9982055,-340.100012,0.101806488,0.909799216,,0.749672454,1
Usp4,-454.1933073,-454.7083285,0.515021182,0.667794067,,0.472973266,1
Rbm8a,-459.0042478,-459.0042456,-2.17E-06,0.000567639,,1,1
Asic2,-341.4592659,-341.5108044,0.051538507,0.00021495,,0.82040746,1
Sdf2l1,-162.9127714,-162.9234968,0.010725312,0.544805677,,0.917516087,1
Mon1a,-259.71011,-259.7134978,0.003387881,2.191473675,,0.953584935,1
Cerk,-515.3654381,-516.0645825,0.699144435,1.390574323,,0.403071326,1
A330050F15Rik,-319.3691147,-319.3695144,0.000399687,0.536370113,,0.984049626,1
Tmem51,-144.8638896,-144.86389,3.86E-07,3.95E-05,,0.999504082,1
Puf60,-583.7644224,-584.1898062,0.425383819,0.498240578,,0.514262775,1
Vstm4,-401.6079891,-401.9252926,0.317303461,0.192823222,,0.57323269,1
Mplkip,-289.8957617,-289.9354917,0.039730022,0.631590808,,0.842009375,1
Hsd17b7,-220.8072901,-220.8651496,0.057859453,1.891806478,,0.80991172,1
Rab24,-438.046974,-439.2876687,1.240694696,2.757920426,,0.265337211,1
Sec22b,-384.1655352,-385.918433,1.752897726,2.205590384,,0.185512862,1
Asxl3,-250.5415658,-250.541567,1.20E-06,1.52E-05,,0.999124159,1
BC017643,-271.7348622,-271.7348582,-3.98E-06,0.000523336,,1,1
2310061I04Rik,-473.4848345,-473.4848336,-8.98E-07,4.73E-05,,1,1
Rabggta,-204.9017114,-204.957982,0.056270562,0.752961099,,0.812490645,1
Cdc42ep3,-359.9617509,-359.9762619,0.014510999,2.16093314,,0.904117491,1
Epb4.1,-319.1632289,-319.3964128,0.233183864,0.942414835,,0.629173025,1
Aebp1,-393.5828696,-394.8758281,1.292958556,0.169122172,,0.255503442,1
Sfxn1,-492.8053132,-493.1953622,0.390049012,0.500138689,,0.53227364,1
Kdelr2,-452.3628402,-453.3874571,1.024616886,1.165644793,,0.311426369,1
Dctn1,-637.9677615,-638.0115197,0.043758192,2.460354982,,0.834304143,1
Neb,-185.9705603,-185.9705584,-1.97E-06,0.004957204,,1,1
Ap4s1,-563.5387083,-563.5387802,7.19E-05,1.356545406,,0.993234302,1
Stx4a,-406.8982487,-406.8982778,2.91E-05,0.285436912,,0.995698758,1
Rab4a,-396.4959098,-396.4959077,-2.15E-06,0.013329373,,1,1
St3gal6,-150.2673689,-150.2673683,-6.05E-07,0.000578372,,1,1
Hook2,-220.9241399,-220.92414,7.58E-08,7.26E-05,,0.999780386,1
1700037C18Rik,-91.48853703,-91.48853689,-1.37E-07,0.712927941,,1,1
Snx16,-428.9304306,-428.9407434,0.010312771,0.009797738,,0.919112429,1
Cul3,-495.0514311,-495.2141575,0.162726384,1.04517035,,0.686658705,1
Rnf166,-453.2481409,-453.863654,0.615513086,0.999586255,,0.432719555,1
Arhgap44,-438.0624088,-438.0707262,0.008317349,0.35748024,,0.92733407,1
Amz1,-262.8647715,-262.8879011,0.023129631,0.004209413,,0.879120456,1
Kcnh7,-99.2263871,-99.22638627,-8.28E-07,0.008159642,,1,1
Cd2ap,-458.441746,-458.7582842,0.316538239,0.002417846,,0.573695501,1
Lingo2,-88.60821811,-88.60821776,-3.50E-07,0.000272361,,1,1
Pigu,-298.502116,-298.5021158,-2.11E-07,0.010136098,,1,1
Ccdc28a,-266.782204,-266.7822019,-2.10E-06,0.000137063,,1,1
Stx8,-270.4549093,-270.4549341,2.48E-05,0.02012204,,0.996024362,1
Gak,-527.7908728,-527.9532913,0.162418529,0.000177724,,0.686939527,1
Smad2,-425.6590854,-426.6310853,0.971999864,0.158825393,,0.324181925,1
Rbm12b2,-372.5166503,-372.5242884,0.007638125,0.008659528,,0.930356458,1
Abhd17c,-411.3835413,-411.3835394,-1.83E-06,0.415149925,,1,1
Smg7,-432.4202499,-432.4517665,0.031516544,7.14E-05,,0.859092893,1
Sgsh,-109.603333,-109.6033328,-2.07E-07,0.000139613,,1,1
Dcun1d4,-540.9828459,-541.56918,0.586334032,1.44330886,,0.443840237,1
Bop1,-287.4107686,-287.4741982,0.063429661,0.737804497,,0.801155107,1
Pld4,-189.2055263,-189.2055247,-1.62E-06,1.876697636,,1,1
Tarsl2,-294.7349551,-294.9007254,0.165770313,0.149227009,,0.683898553,1
Tns3,-575.180507,-575.2096121,0.029105085,6.01E-09,,0.864536627,1
Apbb2,-366.5584084,-366.6057279,0.047319516,0.73977654,,0.827794945,1
Atrnl1,-592.9092759,-592.9146723,0.005396478,0.010952737,,0.941439498,1
Galnt10,-223.4101349,-223.4612415,0.051106546,0.011647677,,0.821148867,1
Fdxr,-256.1265701,-256.126571,9.05E-07,6.30E-06,,0.999240958,1
Erc1,-382.3660262,-382.8666896,0.500663432,0.169491422,,0.479208761,1
Patz1,-379.0896927,-379.2426031,0.152910316,1.653262431,,0.695769528,1
Xpnpep1,-409.9821515,-409.9822127,6.12E-05,1.179957329,,0.993759233,1
Acaa1a,-467.5564876,-467.5564887,1.03E-06,3.705738138,,0.99919164,1
Med7,-407.1841174,-407.5714775,0.387360154,0.547452575,,0.533690291,1
Cdyl,-267.2803134,-270.3844037,3.10409034,1.977355349,,0.078095847,1
Usp49,-93.86170306,-93.86170274,-3.21E-07,0.013308591,,1,1
Zdhhc1,-219.6017376,-219.79373,0.19199234,2.738982861,,0.661263558,1
Pabpc4,-337.0731244,-337.5284583,0.455333952,0.395630108,,0.499812769,1
Josd1,-485.3770028,-485.3770079,5.14E-06,0.021042463,,0.998191045,1
Smim14,-587.96176,-587.9617538,-6.21E-06,0.030736316,,1,1
Rnf219,-251.7095329,-251.7122461,0.002713271,1.098191796,,0.958457726,1
Orc2,-210.9852668,-211.0778552,0.092588389,0.012471054,,0.760911989,1
Mobp,-130.7645228,-130.7982146,0.033691821,1.02624901,,0.854363886,1
Agpat4,-362.0008663,-362.059301,0.058434735,1.89E-05,,0.808987231,1
Sncaip,-123.5174973,-123.517497,-3.11E-07,0.000227405,,1,1
Ptp4a1,-506.5222401,-506.8051489,0.282908803,1.824559847,,0.594800992,1
Ache,-296.5707853,-296.9683644,0.397579126,2.324026668,,0.528342153,1
Ndfip2,-566.7473891,-568.1567452,1.409356142,0.7302559,,0.235163307,1
Taf6,-286.5244533,-286.587295,0.062841734,0.657113102,,0.802059564,1
Bpifb9b,-219.7054059,-232.6660584,12.96065246,1.471058309,,0.000318106,0.337624393
Fastkd5,-213.933413,-213.9439337,0.010520741,0.442810099,,0.918303728,1
Cxcl12,-510.5042529,-513.0570847,2.552831784,0.162052113,,0.110096765,1
Adcyap1,-247.0786794,-247.0786806,1.12E-06,3.602055965,,0.999154491,1
Mtrr,-154.0176708,-154.228262,0.210591178,1.785245993,,0.646304439,1
Eif5a2,-385.9529129,-389.4774155,3.524502599,1.463856851,,0.060467966,1
Zfp712,-78.00959663,-78.07641849,0.066821865,1.123824951,,0.796021624,1
E2f5,-362.8586373,-362.8827309,0.024093575,1.090435493,,0.876647052,1
8430427H17Rik,-387.7037213,-387.7040827,0.000361433,0.238546275,,0.98483202,1
Phtf1,-371.2596234,-371.5059615,0.246338104,0.971571315,,0.619665416,1
Ece1,-454.0373526,-454.0373625,9.88E-06,0.00088314,,0.997492164,1
Chmp7,-463.8424301,-463.8424294,-6.58E-07,3.171484968,,1,1
Trpm2,-136.0139641,-136.013963,-1.12E-06,0.006221863,,1,1
Mthfd1l,-202.6816429,-202.6828193,0.001176354,0.507057721,,0.972639507,1
Vwa9,-363.3040769,-363.3088506,0.004773726,0.000716969,,0.944916263,1
1700017B05Rik,-133.9205132,-133.9392453,0.018732108,0.022609902,,0.891137275,1
Sgpp2,-171.760613,-171.9658125,0.20519951,2.204311549,,0.650556285,1
Cdc40,-328.3379389,-328.3379373,-1.57E-06,0.002554878,,1,1
Rnf121,-30.64538932,-30.64538616,-3.16E-06,3.438363698,,1,1
1110038F14Rik,-341.6013639,-344.0315652,2.4302013,1.029899486,,0.119017614,1
Arl8b,-566.6121898,-566.6121788,-1.10E-05,0.031866823,,1,1
Wls,-594.9747172,-600.5733745,5.598657226,0.188418414,,0.017974249,1
Hars,-493.0854774,-493.8032447,0.717767224,0.7000906,,0.396877278,1
Crybb3,-47.22298031,-47.22298451,4.20E-06,1.90E-05,,0.998365,1
Cyb561d1,-281.7265284,-281.726527,-1.45E-06,5.10E-05,,1,1
Hopx,-515.3012642,-515.6776641,0.376399928,0.507235878,,0.539536259,1
Rnf216,-525.1571044,-526.7424194,1.585315004,1.703150208,,0.207996768,1
Nav2,-482.7022835,-482.7144393,0.012155793,0.000115937,,0.912208484,1
Zfp68,-373.5360826,-373.5360817,-8.48E-07,0.775514233,,1,1
Rhou,-277.353679,-277.4641756,0.1104966,5.924562759,,0.739579471,1
N6amt1,-89.53095747,-89.75793998,0.226982505,1.861274103,,0.633770338,1
Hpgds,-125.8875997,-125.8875996,-1.07E-07,0.003808374,,1,1
Slain1,-465.5807986,-465.5808324,3.38E-05,0.027290008,,0.995361724,1
Kcnk10,-40.04019496,-40.0508816,0.010686638,0.216707633,,0.917664401,1
Cxxc4,-398.5434892,-398.5435661,7.69E-05,0.283880919,,0.99300421,1
Rbmxl1,-528.8385503,-528.8385463,-4.01E-06,2.63E-05,,1,1
Brsk1,-336.9554628,-336.9581925,0.002729667,0.004724871,,0.958332512,1
Stxbp2,-168.0888284,-168.3175128,0.228684374,0.178803831,,0.632501066,1
Prr14l,-431.004302,-431.0093126,0.005010599,0.230084122,,0.943568407,1
BC004004,-369.1383901,-370.4761002,1.337710079,0.958766456,,0.247438204,1
Stat5a,-118.8117645,-118.8117645,-9.75E-08,0.000269791,,1,1
Ahr,-217.6268235,-217.6268225,-9.76E-07,0.003248478,,1,1
Pcdh15,-332.4533669,-332.5435161,0.090149171,0.299511569,,0.763987601,1
Paxip1,-378.7759869,-380.7689897,1.993002824,0.92665466,,0.158027262,1
Alg3,-210.241712,-210.3017851,0.060073132,0.00235268,,0.80638039,1
Utp3,-384.9699621,-385.1335999,0.163637741,1.109930639,,0.685829182,1
Zfp574,-339.2707562,-339.8320195,0.561263288,1.553203432,,0.453751692,1
Zkscan2,-108.9431234,-108.9431234,-1.73E-08,0.001924742,,1,1
Helb,-56.92932374,-56.92933219,8.45E-06,0.020157769,,0.997680092,1
Slco3a1,-474.325901,-474.3258969,-4.05E-06,0.000105167,,1,1
Smarcc1,-386.1207694,-386.120765,-4.45E-06,0.000582256,,1,1
Ddc,-244.8961445,-245.3389797,0.442835201,1.706862047,,0.505757189,1
Srsf10,-576.7552916,-578.3499329,1.594641341,0.8663002,,0.206664267,1
Csrnp1,-146.449063,-146.4490629,-9.28E-08,0.000667092,,1,1
Nova2,-362.9830746,-363.7318592,0.748784655,3.859377135,,0.386861289,1
Slc35e4,-334.7642259,-334.7686793,0.004453359,0.851722581,,0.94679387,1
Rabgef1,-366.0385391,-366.0385445,5.41E-06,0.363302805,,0.998144923,1
Axin2,-284.31003,-284.5774948,0.267464814,1.139638648,,0.605037489,1
Pbdc1,-239.3570804,-239.3572957,0.000215281,1.453954658,,0.988293487,1
Fancl,-209.4048105,-209.4058633,0.001052753,0.246832208,,0.974116257,1
Gdap1l1,-342.3604131,-342.4099353,0.049522216,0.618862398,,0.823896749,1
Cdkl5,-130.3887892,-130.3887879,-1.29E-06,0.125091858,,1,1
Ddx54,-421.7477486,-422.0621866,0.314438019,0.005439351,,0.574969523,1
Dctn5,-332.0763411,-332.3077941,0.231452942,0.941606965,,0.63044858,1
Keap1,-368.0991817,-368.21264,0.113458238,2.330759648,,0.736240816,1
Ube2i,-640.7392029,-640.7392006,-2.26E-06,0.004400734,,1,1
Tdp1,-248.477109,-248.5957242,0.11861523,1.940113036,,0.730541264,1
Naa35,-429.1008168,-429.1008158,-9.70E-07,0.004855615,,1,1
Agtr1a,-52.45435632,-52.45744428,0.003087956,0.782245521,,0.955684855,1
Evi2a,-294.7351274,-294.8119365,0.076809127,7.57E-05,,0.78166908,1
Gcnt4,-101.0843603,-101.1778388,0.093478448,1.395458851,,0.759800746,1
Opalin,-190.5877568,-194.1440503,3.556293515,2.483974737,,0.059320057,1
Dcp2,-434.3118361,-434.7159676,0.404131458,0.161788261,,0.524963276,1
Kdm3a,-421.1249422,-421.3711241,0.246181951,0.692026324,,0.619776407,1
Chchd6,-450.1675044,-450.3743556,0.206851143,0.746024978,,0.649246721,1
Fancg,-210.4496095,-210.449606,-3.56E-06,0.563416884,,1,1
BC029722,-212.6302926,-212.6302896,-3.05E-06,0.000279863,,1,1
Hdgfrp3,-519.9155095,-519.9155019,-7.52E-06,0.000365738,,1,1
Proz,-134.2039275,-134.2039277,2.53E-07,0.31728672,,0.999598766,1
Pou3f1,-227.0848238,-227.7042868,0.619463061,0.979902395,,0.431246886,1
Sipa1l3,-344.3684379,-344.3684709,3.30E-05,0.001360037,,0.995419737,1
Fanci,-135.7570521,-136.2769411,0.519889028,4.343315653,,0.470889023,1
Uchl3,-361.432917,-361.4329574,4.03E-05,0.002047492,,0.994934646,1
Pter,-139.9279057,-140.8022032,0.874297428,2.338382092,,0.34976834,1
Mocs1,-76.36223646,-76.36223753,1.08E-06,0.0021169,,0.999171879,1
Mrps35,-319.5081562,-319.5081544,-1.86E-06,6.83E-07,,1,1
D19Bwg1357e,-284.9113559,-284.9209596,0.009603674,0.001789928,,0.921933616,1
Cactin,-313.3781515,-313.3781485,-3.03E-06,2.56E-05,,1,1
Amacr,-188.1898089,-188.2407723,0.050963414,0.714627172,,0.821395262,1
Tmtc3,-240.6776148,-241.2522695,0.5746547,2.026199688,,0.448415169,1
Hsf2,-372.1311209,-372.133899,0.002778028,0.686614874,,0.957965361,1
Otop2,-363.5753704,-363.5850793,0.00970886,0.000156944,,0.921508636,1
Wdr46,-151.6569279,-151.6567647,-0.00016321,0.076823744,,1,1
Incenp,-297.2620273,-297.2620222,-5.10E-06,0.074172446,,1,1
Renbp,-61.90943874,-61.90944229,3.55E-06,0.2028284,,0.998496594,1
Ebp,-306.0734329,-306.1204406,0.047007775,1.285455472,,0.828354264,1
Gm13375,-132.8591866,-132.8591839,-2.70E-06,0.044526316,,1,1
Ppp6r3,-550.7991468,-550.7991461,-7.09E-07,0.000249363,,1,1
Itgb5,-392.1977015,-394.131869,1.93416746,4.686011949,,0.164303224,1
Epha5,-565.6413659,-565.6413655,-3.65E-07,0.054091555,,1,1
2610305D13Rik,-91.23978414,-91.23978402,-1.18E-07,0.394106119,,1,1
Ddit3,-398.5288415,-398.838199,0.309357501,0.002127446,,0.578074716,1
Cnnm2,-290.8049246,-290.8048894,-3.52E-05,2.268912202,,1,1
Lrrc24,-293.9998985,-294.051143,0.05124446,3.293786924,,0.820911798,1
Ap1s2,-163.5952804,-163.5952798,-6.01E-07,1.186403807,,1,1
Capn3,-88.43065422,-88.43065397,-2.50E-07,0.012281915,,1,1
Coro2b,-507.9526024,-507.9525969,-5.53E-06,2.75E-07,,1,1
Slitrk4,-198.7666792,-198.7666781,-1.15E-06,0.011036675,,1,1
Fbln5,-209.9461473,-209.9541751,0.008027802,0.889639621,,0.928606674,1
Usp20,-385.9337637,-386.4857148,0.551951085,2.450901248,,0.457521576,1
Man1c1,-233.7525129,-233.7959607,0.043447852,1.634717469,,0.834884268,1
Gas5,-531.5492531,-531.5496655,0.000412398,0.27166588,,0.983798012,1
Rpn1,-599.0333335,-599.0332381,-9.53E-05,0.009710615,,1,1
Rassf10,-116.7528088,-116.7528082,-6.35E-07,0.72197331,,1,1
Derl1,-502.6370621,-502.7753727,0.13831063,0.017207103,,0.709966284,1
Mcmbp,-373.4494531,-373.4566734,0.007220297,0.009397717,,0.932283389,1
Inpp4b,-254.7086625,-254.7108633,0.002200769,0.623532422,,0.96258308,1
Txlna,-365.1341147,-365.1341142,-5.54E-07,8.75E-05,,1,1
Nipsnap3b,-306.4406533,-306.6722183,0.231564985,1.422834474,,0.630365836,1
Tmem181c-ps,-388.3007777,-388.3007771,-6.76E-07,5.156063942,,1,1
Rc3h1,-491.7423558,-491.9384351,0.196079308,0.192740399,,0.657904304,1
Rgs2,-567.1323718,-568.7347545,1.602382701,0.022343726,,0.205565874,1
Nup54,-163.4976571,-163.5084228,0.0107657,0.850932366,,0.917361482,1
Rrp1b,-289.9126388,-289.9618642,0.049225439,0.001653069,,0.82441659,1
Zfp617,-111.6014609,-111.6014611,2.04E-07,3.54E-05,,0.999639466,1
Snhg1,-277.1515512,-277.1752548,0.023703633,1.255369957,,0.877641399,1
Prelid1,-362.4976051,-362.4976037,-1.46E-06,1.361592899,,1,1
Ifngr1,-383.4424169,-383.4424165,-4.70E-07,2.105364993,,1,1
Dagla,-387.2101919,-387.3028388,0.092646893,1.598576301,,0.760838768,1
Rad1,-186.2399087,-186.2399079,-8.37E-07,1.32E-05,,1,1
Bsdc1,-423.5063903,-423.511872,0.005481669,0.005709668,,0.940979916,1
Synrg,-375.9806894,-375.9942839,0.013594449,0.002150885,,0.907180813,1
Cep57,-373.3207574,-373.3207505,-6.86E-06,0.001924756,,1,1
Arl4c,-292.8409128,-292.8409411,2.84E-05,0.345934258,,0.995750397,1
Lrrc8d,-355.6304612,-355.7968169,0.166355727,0.997114594,,0.683371107,1
Rbm15b,-259.2987082,-259.2987043,-3.91E-06,0.000692798,,1,1
Kcnh8,-112.556348,-112.5563479,-1.53E-07,0.093880083,,1,1
Slc25a16,-404.5010354,-404.8373099,0.336274531,0.663993402,,0.561987568,1
Tbc1d22a,-252.6480268,-253.171334,0.523307162,1.466542294,,0.46943434,1
Cit,-122.2620434,-122.262043,-4.42E-07,0.000461683,,1,1
Dnajb12,-93.89567069,-93.90088381,0.005213122,0.032754912,,0.942441192,1
Mllt6,-572.036826,-572.0368488,2.28E-05,0.000430262,,0.996190923,1
Ctnnbip1,-550.380585,-550.5384558,0.157870866,1.41E-08,,0.691124371,1
Col3a1,-219.8679435,-220.0020624,0.134118919,1.794027482,,0.714199055,1
Fam118a,-318.9076099,-319.0635829,0.155972968,1.11713505,,0.6928915,1
Impdh1,-455.8224908,-455.9211078,0.098616918,0.455391212,,0.753495742,1
Pak7,-289.6324677,-289.6324676,-1.16E-07,0.036849516,,1,1
Btd,-217.5927978,-217.8549696,0.262171828,1.996342987,,0.608631991,1
Fos,-540.7221734,-540.7221647,-8.64E-06,0.000524298,,1,1
Usp10,-445.2233361,-445.3388139,0.115477853,0.094018118,,0.733991841,1
Pank2,-324.9188953,-324.9523464,0.033451084,0.011753371,,0.854879327,1
Ttc33,-473.9992643,-474.0142551,0.014990721,4.02E-05,,0.902553254,1
Golt1b,-442.8742528,-442.8786537,0.004400899,0.003988055,,0.947107718,1
Arhgap17,-259.211439,-260.216007,1.004568013,0.900228803,,0.316207701,1
Ripply2,-150.483201,-150.4832011,9.54E-08,0.001672787,,0.999753572,1
Fam175b,-335.3713261,-335.3732797,0.001953597,0.700315217,,0.964745367,1
Slc16a6,-248.9931516,-248.9931408,-1.08E-05,0.086528785,,1,1
Wwc2,-162.8260757,-162.8260753,-4.09E-07,0.516742812,,1,1
6430573F11Rik,-312.2236162,-312.3858882,0.162272027,0.023286375,,0.687073274,1
Dock4,-159.1526072,-159.2468315,0.094224254,1.486955204,,0.758874051,1
Kctd5,-400.162685,-400.1746796,0.011994691,0.036490895,,0.912789839,1
Rhbdl3,-288.4058332,-288.4058323,-9.41E-07,0.061807807,,1,1
Taf2,-367.3713445,-367.5319884,0.16064391,0.00375628,,0.688564376,1
Gnpda2,-431.90799,-431.9985271,0.090537109,0.723989587,,0.76349544,1
Supv3l1,-203.3156045,-203.3156039,-5.88E-07,0.002476667,,1,1
Kcna6,-186.0371135,-186.2031947,0.166081216,2.496148238,,0.683618301,1
AI854517,-301.2568722,-301.2570266,0.000154437,2.44981779,,0.990084722,1
4930452B06Rik,-152.0171618,-152.1489704,0.13180863,1.242464164,,0.716564111,1
Cyb561,-410.9215762,-410.9817649,0.060188728,0.000995982,,0.806197896,1
Cuta,-419.5924556,-419.6559576,0.063502002,0.001063545,,0.801044128,1
B3galt5,-169.7069854,-169.7256633,0.018677885,0.614787559,,0.89129397,1
Usp35,-180.7330963,-180.7330995,3.17E-06,0.00109078,,0.998578597,1
Myadml2,-129.1280148,-129.3698102,0.241795376,1.904538961,,0.622912396,1
Fbl,-244.6498904,-244.6688572,0.018966758,0.003493501,,0.890461828,1
Card10,-280.7906815,-281.210566,0.419884529,0.909753161,,0.516994668,1
Uaca,-181.1134116,-181.1134103,-1.23E-06,0.187657583,,1,1
1700021F05Rik,-343.5014863,-343.5098418,0.008355488,0.0045952,,0.927168121,1
Cd302,-459.5263839,-459.5263999,1.60E-05,0.588398205,,0.996812573,1
Ccdc61,-174.2275615,-174.2603287,0.032767199,0.034744705,,0.856354134,1
Clic5,-168.2234263,-168.2284689,0.005042641,0.794236497,,0.943388558,1
Hdac8,-225.9709321,-225.9709337,1.61E-06,0.000359936,,0.998988432,1
Gcc2,-480.3837593,-480.4281991,0.044439761,0.564705819,,0.833037561,1
Morc2a,-326.4321421,-326.5325717,0.100429616,0.833670081,,0.751314686,1
Kdm4b,-398.2173771,-399.0614008,0.844023759,1.945254872,,0.358248504,1
Apba3,-153.1445979,-153.1652685,0.020670575,0.00157846,,0.885679999,1
Stk3,-238.2866376,-238.4360169,0.149379258,1.02643144,,0.699129269,1
Tecpr1,-140.9273922,-140.9273914,-7.73E-07,0.143350857,,1,1
Atp13a1,-372.0018134,-372.0181642,0.016350819,0.017457872,,0.898251599,1
Ddx41,-268.5802268,-268.6150832,0.034856365,0.490445613,,0.851896958,1
Slc35b3,-229.991881,-229.9930037,0.001122697,1.446323538,,0.973270542,1
Ibtk,-309.767428,-309.7685346,0.001106612,1.56805718,,0.973462642,1
Slco5a1,-370.0311046,-370.2344722,0.203367631,0.923413181,,0.652016213,1
Akt2,-397.3679658,-397.3679622,-3.63E-06,0.089448909,,1,1
Ctsh,-323.5760578,-324.1146769,0.538619053,2.753569097,,0.4630056,1
Kansl1l,-189.9204022,-190.9053986,0.984996419,4.228961311,,0.320968376,1
Gng11,-400.6429713,-401.1993331,0.556361852,0.185521954,,0.455729833,1
Rab35,-457.274156,-458.3563774,1.082221437,0.791883942,,0.298201137,1
Frmd4a,-505.3059183,-505.4332107,0.127292444,0.198760823,,0.721256011,1
Rpp21,-382.991841,-383.0533445,0.061503551,1.220435277,,0.804135107,1
Kbtbd11,-432.5469102,-432.7595854,0.212675116,2.159257333,,0.644678707,1
Ccnc,-254.8198003,-254.8605157,0.040715361,0.237598936,,0.840088345,1
Msn,-289.0878493,-289.2961659,0.208316634,1.169462513,,0.648090021,1
Rab11fip3,-504.7128799,-504.7128769,-2.96E-06,0.001536604,,1,1
Mnt,-409.9689992,-409.9690015,2.23E-06,0.002342405,,0.998807393,1
Gls2,-269.6195655,-269.6888532,0.069287708,0.595098122,,0.792376713,1
Wdr83,-199.5757021,-199.5757022,6.51E-08,0.902258463,,0.999796416,1
Neurod1,-250.7161854,-250.716187,1.64E-06,1.489348018,,0.998979328,1
Crtac1,-357.667728,-358.063248,0.395520029,0.743414294,,0.529412017,1
Kcnc3,-365.789977,-365.7899742,-2.85E-06,1.101901663,,1,1
Cad,-270.9876083,-270.9913012,0.003692904,0.03272792,,0.951542967,1
Kat6a,-530.1850028,-530.5825849,0.397582091,0.482275673,,0.528340615,1
F3,-398.7964716,-399.7615316,0.965059992,0.943784715,,0.325915301,1
Slc6a15,-366.7449546,-367.0201182,0.275163641,2.810359436,,0.599888803,1
Lrp3,-276.8129671,-276.8129658,-1.35E-06,0.007616297,,1,1
Nicn1,-393.9164561,-393.9164536,-2.45E-06,0.000131615,,1,1
Gnpnat1,-253.5664064,-253.738961,0.172554579,1.011152605,,0.67785138,1
Tox4,-351.9874226,-352.2166758,0.229253156,1.488564895,,0.632078156,1
Traf3,-367.427215,-367.6815146,0.254299597,0.010497326,,0.614063739,1
Dolk,-233.903024,-234.5982629,0.695238961,1.101438153,,0.404388112,1
C77370,-383.7363746,-383.736373,-1.56E-06,0.013516743,,1,1
Pdrg1,-428.3139477,-428.5519937,0.238045977,0.056298073,,0.625620989,1
Tanc1,-247.0471298,-247.8898967,0.84276686,1.042297621,,0.358606645,1
Rbm22,-420.1796851,-420.2007637,0.021078572,0.161066925,,0.884565114,1
Mrpl16,-379.9046108,-380.6959211,0.791310368,0.974633137,,0.373704193,1
Coq10a,-418.8936489,-419.018143,0.124494109,0.492871945,,0.724210473,1
Fam181b,-540.0296101,-540.0325401,0.002930076,0.410091207,,0.956831448,1
Dnmt3a,-499.9881766,-500.0086422,0.020465575,0.130074026,,0.88624442,1
Glis2,-262.3254256,-262.9369698,0.611544179,0.643894907,,0.434206991,1
Aldh18a1,-212.7607592,-212.7607587,-5.63E-07,3.628365718,,1,1
Wipf1,-329.2980007,-329.2979988,-1.91E-06,1.31E-05,,1,1
Ap4b1,-240.6525783,-240.9470965,0.294518178,2.000905556,,0.587339618,1
Zfp346,-151.1923138,-151.1923729,5.90E-05,0.056296945,,0.993870294,1
Ythdf2,-536.0585675,-536.1350275,0.076460079,0.531244143,,0.782153188,1
Morc3,-330.3138123,-330.3993269,0.085514543,3.81E-05,,0.769958869,1
Pctp,-75.62693536,-75.75492906,0.127993699,1.441851618,,0.720521378,1
Mafb,-189.2294008,-189.2762187,0.046817838,0.002861017,,0.828695996,1
Pex19,-468.1974531,-468.393518,0.196064875,1.233842722,,0.657916093,1
Slc18b1,-345.1818484,-345.6417447,0.459896356,4.968620289,,0.497672415,1
Cyp2f2,-143.9469928,-143.948365,0.001372209,1.06917962,,0.97045045,1
Sox17,-177.9177874,-177.9351055,0.0173181,0.002103494,,0.895302069,1
Zfp800,-292.9452718,-292.9452608,-1.11E-05,0.00352377,,1,1
Ano3,-533.1013146,-533.1013084,-6.18E-06,0.001198888,,1,1
Sox9,-506.6911061,-507.3111298,0.620023675,0.786469064,,0.431038488,1
4930430F08Rik,-308.2133795,-308.2221705,0.008790958,0.001182292,,0.925299721,1
Pcnxl4,-364.4131446,-364.4131451,5.08E-07,0.004646916,,0.999431327,1
Dnajc18,-492.9443068,-492.9445866,0.00027982,1.318269973,,0.986653752,1
